id_k,iq_k,epsilon_k,n_k,n_1k,id_k1,iq_k1
-58.67707,87.05882,0.2317637,7,7,-20.2533,107.3968
-135.6596,105.0927,1.445825,2,4,-168.0103,115.8515
-119.8482,31.38758,2.585744,5,5,-148.3688,26.89911
-196.3344,74.39371,1.623605,6,6,-225.6269,70.12364
-45.31849,215.1827,-3.016972,5,7,-85.15915,210.7675
-96.01604,60.52774,-1.638247,7,2,-130.6434,69.46867
-186.1724,66.52991,-0.1719825,4,2,-223.3407,67.83189
-101.2022,194.9264,2.752704,3,6,-48.6293,159.7773
-128.2749,155.6659,-0.4791903,3,7,-157.5895,178.0884
-27.26781,66.83054,2.305145,7,5,-9.38579,53.0185
-158.4426,72.70052,2.463611,2,5,-153.7063,93.06709
-6.312144,0.4710797,2.583293,1,2,-6.247582,-1.010363
-217.0132,94.45599,0.1992815,2,2,-232.9913,82.31157
-146.997,29.9138,1.460153,5,4,-134.8153,19.34287
-3.457843,29.58957,-1.750134,4,1,4.416228,19.67025
-42.32437,150.042,2.365955,6,6,-77.57249,153.2099
-200.407,77.10068,-1.993382,2,7,-139.6017,70.61723
-105.0568,20.48275,1.546023,2,2,-135.3768,23.37706
-190.1758,132.0237,2.490314,2,2,-187.6203,165.9618
-184.3168,16.16357,-2.681246,6,1,-181.864,23.35474
-143.1848,121.157,-1.574357,1,3,-128.9706,119.4447
-27.88055,83.46818,1.260728,2,3,-64.70614,85.64491
-162.3476,22.85107,-1.619538,1,5,-158.0928,21.2751
-20.41974,161.3645,1.878279,2,7,-39.73866,193.6243
-179.8649,94.00203,2.596005,3,2,-127.6551,78.02271
-171.6501,34.15797,-1.80866,7,4,-209.6336,41.9052
-176.7474,130.4578,-1.845682,4,1,-147.716,99.75166
-84.36935,11.60143,2.730537,7,5,-83.7151,3.561059
-127.5644,11.94914,3.061892,7,4,-146.2795,5.098714
-190.3997,18.9622,-2.346535,5,4,-220.4278,27.04831
-22.38646,103.7736,-0.008660985,2,2,-39.23735,76.44421
-161.88,98.41045,1.86257,2,6,-183.7405,119.5633
-9.50546,99.87526,-0.8538063,4,2,-34.0867,78.38591
-70.49731,130.1907,-2.616164,7,2,-104.6164,107.3233
-198.2468,125.0584,2.352095,5,2,-217.0413,103.2919
-95.6059,92.64967,-0.5817533,5,6,-54.04612,103.1394
-207.7447,11.89317,-1.05459,4,5,-227.7314,4.008553
-183.1386,123.3329,-2.768852,1,7,-169.206,119.9352
-202.6535,46.03145,-0.7173792,4,3,-227.9213,38.368
-28.48418,74.33126,-3.026638,2,6,7.440916,92.36783
-94.62667,48.02099,-2.521302,5,4,-125.0737,55.80044
-172.3646,2.085416,0.8383152,2,7,-216.5586,-1.036654
-174.3608,112.3719,-1.837009,1,3,-162.1388,111.748
-24.8726,169.5885,-1.825598,1,1,-15.93452,165.7309
-122.7986,137.8247,1.504493,2,2,-151.3677,153.4144
-90.18729,86.55566,-1.805725,4,2,-74.69637,66.32829
-67.44189,88.55013,0.8669962,4,4,-85.58274,105.0675
-70.48242,7.562684,2.984324,6,6,-92.73782,12.04963
-80.33899,140.533,-3.137091,1,6,-67.86845,135.7227
-238.7195,46.38823,-1.346747,5,7,-221.5699,53.56001
-97.34116,157.2686,-2.477563,1,6,-85.76524,153.9152
-7.963498,18.57639,-0.07051085,5,1,20.58708,17.34976
-50.7314,204.8946,-0.2391142,3,4,-67.10396,243.5534
-25.56477,182.9348,-2.059461,5,1,-29.97205,229.7265
-9.860373,24.08906,-0.4805954,6,7,15.00876,19.07412
-106.335,41.80809,2.629314,1,4,-102.8082,39.89367
-154.0327,74.07711,-0.1530617,7,2,-129.4196,86.99403
-85.84398,80.63418,0.8144338,4,4,-107.06,94.79685
-47.46185,112.8354,-2.266071,2,7,4.57637,121.3097
-141.25,63.26738,-2.385048,5,4,-170.5437,75.21474
-63.66998,172.1168,1.86234,1,2,-50.63054,167.1607
-123.3698,155.78,0.07720467,4,1,-164.417,154.7222
-16.70955,108.1438,-0.4509469,7,3,2.603435,143.9724
-133.6588,177.255,0.07012049,1,4,-120.229,170.3181
-80.33257,11.55291,-0.7508492,3,5,-118.6186,12.67822
-46.35283,208.5582,-0.8288838,1,3,-30.98845,203.7142
-59.77831,54.79452,-1.204201,1,6,-56.3437,53.51952
-7.43152,4.42555,-2.501342,4,6,14.73326,-0.9924955
-35.89348,66.59647,-1.825635,4,7,-16.67269,50.82382
-56.24416,45.04167,-0.5914959,5,4,-16.99099,47.54136
-135.6279,133.966,0.6937259,3,2,-107.6514,177.3539
-53.46497,33.0232,-0.2246141,4,7,-88.22852,31.06718
-64.68871,60.98555,-0.8939189,1,5,-60.69482,58.41712
-36.19031,9.350455,1.602838,5,4,-36.44348,0.5252035
-60.67997,23.71088,-0.7094884,5,6,-33.71182,26.18663
-199.7241,114.5942,-2.149843,3,5,-204.5876,92.451
-80.20702,138.5116,-0.424536,7,1,-57.58211,183.6837
-57.19635,99.8814,1.92728,6,6,-90.66348,90.05377
-60.03278,99.81937,3.01714,2,4,-31.32274,130.5155
-187.1929,30.3508,-0.2478239,3,4,-211.5479,38.73777
-63.84961,64.50504,-1.623215,7,7,-92.6638,71.74039
-157.8101,144.2908,2.317527,3,1,-97.94495,132.0017
-145.4564,83.1156,-0.1545039,7,4,-121.6882,94.0717
-142.8736,6.473952,-0.1568429,7,7,-128.1578,11.42627
-106.1702,132.086,-0.1592905,7,1,-71.51812,171.2641
-232.8644,13.91032,-1.219529,2,7,-197.9259,4.59804
-117.9655,124.8505,0.6566133,3,4,-94.68184,160.4445
-83.6875,116.6184,1.221909,4,2,-87.25618,146.7111
-69.62686,21.95461,0.06641556,6,3,-46.85271,14.59235
-190.3011,99.07261,-1.076846,7,6,-212.4153,119.968
-141.0673,21.91907,-2.529239,1,1,-137.734,21.59596
-60.98479,178.4643,1.287447,6,2,-84.90783,137.0901
-171.2016,122.565,1.201629,4,5,-178.6405,160.7273
-12.6898,65.38975,2.785419,2,6,2.794638,80.97886
-117.6514,156.487,2.971152,6,5,-134.505,194.2985
-140.9942,90.28033,-1.41822,5,4,-124.9006,113.4857
-182.8091,87.57486,-0.08260626,4,2,-218.0107,93.93034
-24.57128,170.7785,2.996146,1,1,-15.57814,166.9626
-158.0293,148.6652,0.3520793,2,4,-179.2415,121.1267
-66.35738,54.35876,-0.7562495,3,3,-96.66643,58.5131
-232.3713,17.15258,1.429166,3,6,-190.8304,20.33438
-65.44045,132.2903,0.1915071,3,2,-68.54068,169.4193
-105.5803,168.7601,-2.718685,2,5,-47.77781,197.7137
-205.7104,106.662,-2.129052,6,3,-172.348,127.8473
-6.139136,120.2839,-2.861278,6,3,-2.710464,157.4993
-186.7155,19.19938,2.670183,1,6,-179.3005,18.23376
-20.5513,46.78068,1.867616,4,5,-3.895189,58.38649
-65.31933,62.02916,2.728086,5,6,-95.14313,54.85019
-29.45679,66.35673,2.875117,2,4,-14.00293,82.41381
-113.6847,171.4841,-2.050557,4,5,-78.44931,126.4979
-173.1888,88.37281,0.3088508,2,3,-192.625,80.62024
-202.953,26.03478,2.288517,1,2,-195.9964,24.34361
-59.44902,3.067958,2.540811,1,2,-58.22917,1.717644
-60.387,166.5342,0.1584619,6,1,-37.39259,122.2715
-214.2392,23.51765,-0.1893927,2,5,-228.5821,14.07734
-56.79646,9.654714,-1.648157,7,2,-91.24666,11.87611
-90.64239,152.314,-3.020986,2,6,-40.38537,195.194
-100.993,95.30431,2.290751,7,2,-76.2694,71.0269
-62.69787,16.11271,0.4571115,3,6,-61.9647,23.84114
-132.9969,151.3634,-1.078343,7,7,-145.6087,190.8582
-122.78,11.12145,-1.817416,7,5,-160.2488,12.4313
-129.8646,194.8491,0.511465,4,1,-161.6573,218.3988
-1.804404,101.971,-2.843958,3,6,8.319829,72.81096
-142.4683,27.03391,-1.899168,5,1,-151.3846,35.02011
-95.32449,59.61179,0.978175,7,2,-44.95802,54.68108
-9.090137,55.47485,0.9788927,6,1,-17.04159,44.82875
-28.51105,40.08327,-2.062445,3,6,-45.12725,30.5528
-54.54919,173.2374,-1.35175,1,1,-44.54117,169.1204
-117.3193,8.970694,2.568373,7,5,-109.6003,2.426196
-50.93673,28.33101,0.3122661,3,4,-50.42781,34.76275
-19.16806,218.3934,-0.4929768,4,4,-57.10117,175.7162
-111.3099,45.93398,-2.9224,1,7,-102.4622,45.46067
-103.3894,77.44057,0.1320164,5,4,-47.53391,72.78934
-15.52456,67.76846,-2.717502,1,5,-7.358504,65.53972
-184.9627,92.56398,0.3060479,1,6,-175.0325,92.0796
-94.70658,47.39165,-2.11353,7,7,-128.3027,47.57787
-137.4408,49.48795,-0.4564757,3,1,-166.5258,56.18806
-95.92381,112.9275,1.018591,4,5,-111.2062,143.6776
-174.8687,99.96828,1.591647,6,3,-206.6567,90.14293
-53.25975,75.58008,3.135497,2,7,-21.22144,95.45252
-9.010718,180.269,0.008604845,1,1,-0.2127793,176.5877
-30.4136,81.04754,-2.467999,7,6,-61.6596,68.94528
-110.4591,162.4504,-0.9509187,7,7,-112.9699,212.9656
-25.00383,140.4879,1.215589,4,5,-27.65075,180.1387
-30.51653,161.2718,0.745075,4,4,-50.76376,186.1564
-65.98659,182.6589,2.961592,4,5,-0.6704377,193.8916
-168.9533,4.951246,0.3525666,1,5,-169.9454,4.887585
-107.1354,21.36718,2.83829,7,4,-115.0193,14.29338
-22.68692,75.81754,2.963845,6,1,-39.90104,89.95254
-141.5324,29.87806,2.561444,5,1,-173.722,25.80992
-29.63231,4.83935,-1.106075,1,1,-29.09064,4.218252
-68.16945,180.3311,-2.460368,1,1,-57.58053,176.7093
-92.3895,144.3095,0.7205324,3,2,-64.45138,189.2249
-102.8043,112.7562,-2.34193,5,4,-126.6653,135.7651
-152.9991,6.104716,-2.064137,7,3,-191.1009,8.221844
-133.5313,6.314229,-2.484806,6,3,-123.924,13.83246
-24.73534,19.81937,-2.63925,1,1,-22.70406,19.12338
-105.3841,10.5376,-0.4297191,1,6,-104.4032,11.02817
-30.12458,56.96618,-3.095773,5,7,-64.09652,56.74293
-147.4461,40.23976,-2.1496,7,1,-184.4831,41.63562
-152.326,37.24401,-3.124467,6,5,-164.3817,46.75445
-134.702,73.83465,-1.649174,7,5,-166.3998,80.81548
-104.1065,193.6679,-0.5417752,1,4,-89.23463,186.8759
-124.978,107.9764,1.205009,1,2,-110.9926,104.4249
-42.73508,78.51733,0.3338364,4,5,-79.36118,84.31284
-148.5766,7.693312,-0.8395907,2,4,-131.1853,1.710705
-48.42549,234.6295,1.108446,2,1,-88.97116,228.516
-24.05334,34.90836,1.090781,7,5,9.809651,34.68023
-116.9289,29.62723,0.2318622,4,6,-155.4814,36.29389
-67.23269,174.8483,-0.8235407,6,3,-5.11746,165.4739
-62.61878,131.9828,-2.695198,7,7,-90.37706,109.0351
-149.7916,91.67703,-0.6057528,7,4,-142.4152,115.6227
-71.28671,209.5726,2.943892,2,1,-31.42437,279.539
-143.4925,154.6709,-2.806165,1,5,-128.0648,150.623
-53.97058,14.62147,0.9571686,3,5,-36.80272,21.37574
-131.9012,36.63942,-1.710214,7,3,-164.2548,42.59716
-24.40806,48.38054,2.820024,2,5,-6.770947,61.73553
-96.30245,209.9484,-0.7848611,3,3,-133.2238,216.2705
-37.4668,191.6188,1.897634,6,3,-80.21298,166.244
-205.7688,97.47131,1.658546,3,2,-147.5374,104.4346
-134.1398,170.2838,-0.5349125,1,7,-119.5132,166.5932
-110.7256,100.6727,0.1201188,1,3,-100.2035,97.10155
-32.61316,178.1412,2.224216,2,6,-27.63281,232.1775
-113.3939,17.49607,1.296967,4,2,-120.2083,24.84532
-130.3803,134.0238,-0.5448686,3,7,-162.3789,149.9735
-19.39071,239.7808,-2.339124,1,1,-9.585526,234.4265
-82.65984,36.56345,2.757638,6,3,-112.7215,43.14457
-118.3196,203.981,-2.983967,3,5,-86.95066,148.3177
-39.01329,95.17267,-1.720729,2,5,6.575772,83.89819
-57.15855,176.3056,2.961259,1,1,-46.47174,173.553
-32.32369,54.74659,-0.692869,4,5,-57.15439,47.40127
-12.69595,61.9542,2.25924,5,2,-31.25119,48.8319
-96.61102,105.8767,-1.570496,7,4,-127.9432,121.0376
-174.6979,68.70366,-0.939712,7,2,-189.9643,83.33694
-53.69075,190.5527,-1.459265,3,3,-88.04331,158.7872
-68.36864,99.30198,0.2480991,2,7,-92.81593,79.49765
-47.16677,53.41476,1.919884,4,2,-26.21569,62.9373
-111.1914,184.3407,-0.9717759,3,6,-156.5056,180.4953
-192.021,29.4398,0.9235359,5,4,-156.723,19.44633
-55.41175,190.4923,-2.330218,2,7,6.934062,204.9448
-157.682,33.02417,1.107961,6,6,-174.9095,27.50653
-187.7908,41.93669,2.363679,7,2,-166.4437,30.71651
-52.50856,29.95308,-2.612686,2,5,-13.64953,30.83203
-27.76114,90.16782,3.122662,2,7,5.968674,118.7635
-172.0568,18.3905,1.393644,7,1,-127.8118,16.11349
-101.2749,19.03764,0.975781,2,7,-141.8905,20.84074
-133.224,193.5864,2.275416,6,6,-170.5824,198.2198
-155.7122,85.02038,-0.4336273,3,4,-183.9143,98.38583
-39.10459,204.8571,-0.9351155,6,1,20.54279,202.6798
-208.1641,60.80149,-1.178295,1,2,-202.6973,60.60903
-17.60021,60.30589,-1.488155,7,5,-44.79503,66.27196
-43.77158,176.9104,2.636844,1,6,-32.45053,170.7567
-120.1611,66.22789,-1.003834,6,3,-66.04733,60.068
-225.9647,35.59205,1.883181,1,2,-217.5898,33.496
-145.3456,143.6813,0.9424734,5,1,-104.2438,111.5105
-118.0471,15.01932,-0.4140756,3,4,-148.9578,21.694
-44.9728,173.9239,-3.004553,2,1,4.114267,221.5429
-95.69021,23.78922,-3.039376,6,2,-109.0111,29.66171
-111.2221,210.9654,-2.361691,3,5,-112.7111,152.7259
-128.8767,106.5563,0.7312887,1,1,-119.9014,103.9742
-180.1563,27.09093,-1.945826,1,7,-172.6483,26.79054
-19.36042,16.56506,2.575218,2,2,-19.37564,21.3675
-97.49133,216.874,-1.487718,2,1,-47.40311,178.766
-103.5545,94.20097,-0.2316628,6,3,-59.41221,73.08054
-165.0121,13.79054,1.274411,2,7,-206.1735,15.13133
-52.03751,155.129,-1.561057,3,7,-83.58662,127.1914
-141.4446,172.8458,-2.145543,1,7,-127.7705,167.5842
-128.3675,89.59621,2.205129,3,2,-72.01067,82.51237
-28.9379,79.4919,1.171865,2,7,-66.55025,78.89839
-1.010413,48.91611,3.045449,4,2,29.5572,48.11248
-49.72754,189.6181,-0.285916,3,3,-67.36622,222.5934
-42.75814,52.59901,-2.879304,5,4,-78.78242,57.24719
-29.29222,107.219,2.60235,5,5,-58.90891,88.21047
-61.31734,177.7513,-2.317688,1,1,-51.24366,174.0728
-14.76005,81.13483,1.953688,7,2,9.226191,63.67746
-99.10598,105.647,-1.613692,3,7,-124.7005,88.75683
-155.3137,92.18495,0.1201716,1,4,-141.1797,90.55356
-108.1359,52.74247,-0.3193769,1,3,-98.71974,50.66354
-157.7516,37.16008,-1.253656,7,3,-181.2501,46.07253
-144.7218,133.0483,2.817011,5,1,-180.4406,121.7733
-203.3683,35.852,-1.960232,5,1,-217.7715,45.12944
-42.67559,6.653979,-1.626041,6,2,-14.54663,9.090572
-117.8241,52.47648,2.460325,7,4,-108.0299,39.17437
-108.6115,142.4144,-2.149327,4,5,-70.24292,106.931
-12.1404,36.40622,0.2770214,3,1,-18.60533,44.63413
-204.2168,35.55123,-2.428805,5,6,-234.0316,41.35769
-48.62141,35.62997,0.7528175,4,4,-72.80273,41.99304
-17.42602,63.02825,-1.98409,1,5,-10.63232,59.80912
-239.4429,2.883119,-1.548401,2,7,-194.7396,-3.02838
-23.10284,27.26421,-0.4800178,2,6,-24.00546,20.10134
-89.39355,190.7,0.04456829,7,2,-39.05664,242.472
-131.124,59.03209,0.0872674,4,5,-171.4069,64.71899
-40.8551,72.71433,1.161203,4,2,-49.00623,89.60199
-99.14886,95.20593,-1.121563,4,5,-106.9701,75.49594
-215.6804,20.4942,2.364237,5,2,-241.9659,15.35607
-96.56078,110.0974,-2.058349,2,6,-42.48282,105.5005
-92.56556,55.46149,1.84052,6,2,-123.5189,53.09757
-68.13676,41.7638,2.206863,5,5,-84.29459,35.74466
-24.9101,194.0697,1.018707,2,7,-69.90911,181.7333
-28.06314,34.29292,1.48108,4,5,-29.00993,43.56286
-150.7355,89.55418,-2.986529,3,6,-119.063,68.92997
-60.93012,164.3169,-1.546191,3,6,-98.26278,134.6037
-48.17613,72.98829,1.446916,7,1,-7.525032,63.13733
-79.14429,52.42381,-1.800607,1,3,-69.91062,52.74071
-192.2059,7.535838,-2.581402,1,7,-185.8062,7.893495
-35.40217,54.08156,0.2050418,6,4,-14.06424,41.69856
-99.70272,50.02438,1.034572,7,7,-56.54263,47.36132
-198.0222,89.08796,-2.450316,1,1,-188.4509,87.91063
-26.93258,225.3443,-2.988801,7,6,-53.82956,165.6156
-114.7179,95.01564,2.683532,2,5,-98.93277,122.2463
-87.96226,127.8022,1.08105,7,1,-30.64333,123.2419
-107.8703,59.59208,0.2208306,7,5,-75.06074,68.35033
-167.797,99.73575,1.657208,1,2,-154.0777,96.2769
-215.1382,43.52087,1.892809,4,4,-195.1855,50.58057
-209.2475,61.63153,-2.222686,3,3,-216.103,51.98411
-22.42809,190.0494,0.00862064,4,2,-63.786,178.4114
-165.8049,30.87782,2.953919,5,4,-207.1073,28.95042
-3.74978,74.27926,0.8147056,2,4,-32.17145,65.58681
-105.5719,62.23092,-1.301787,1,2,-100.3987,61.76257
-2.264287,157.2774,-0.4456306,3,6,-34.61501,173.5796
-9.073739,151.365,-0.07991785,2,1,-28.44812,107.3907
-59.85744,103.0564,0.02887323,5,4,-4.011644,103.3846
-61.1549,158.2244,3.008665,4,1,-3.376986,166.6915
-134.3327,37.80401,0.09822947,5,4,-80.6018,35.6148
-4.493485,92.51886,-0.9961823,7,5,-11.70009,114.2606
-179.9508,13.16568,-1.277679,4,5,-188.459,4.392928
-60.46626,102.4832,2.609812,6,6,-88.54395,113.7538
-48.49076,46.08435,-0.2677861,1,4,-40.39351,44.71683
-51.53037,182.3184,-0.4149559,3,7,-77.8635,209.3622
-10.95415,218.2432,-2.294437,4,1,18.09165,172.2169
-39.91151,97.27003,-0.04454767,6,4,-10.45073,75.59373
-110.1407,17.79133,-2.611403,1,1,-107.4405,17.70358
-138.823,64.12734,2.673597,1,5,-126.9734,63.97739
-176.1048,50.51357,3.047435,1,6,-165.5915,48.83433
-81.1744,153.126,-1.279562,7,1,-99.24435,185.6765
-90.52715,229.9509,-1.794832,1,7,-75.80222,221.427
-158.0498,67.70877,2.690513,4,5,-102.7372,75.15706
-21.25509,70.8844,-2.551335,6,6,-11.01898,88.40886
-105.5952,68.80578,-3.139396,5,4,-146.1384,69.75668
-53.94019,152.6537,1.310826,1,4,-42.53078,147.8057
-138.5244,44.7831,2.731348,5,4,-176.3607,41.86312
-20.23825,152.0219,-2.686578,5,2,-52.89297,164.8825
-2.032333,41.55283,0.04153867,3,4,-10.47791,49.59676
-199.9959,101.6319,-1.075772,1,3,-185.4271,99.49784
-187.5549,99.86994,-1.31087,2,7,-137.7623,77.19761
-53.61151,111.7255,3.08484,7,7,-67.63441,83.44833
-88.22139,122.2157,-2.928391,6,5,-87.45885,159.8638
-168.8651,67.30013,-0.08396944,1,7,-160.1625,64.4096
-23.05259,27.4886,-0.4272456,1,1,-19.88639,26.61012
-193.3366,46.75851,0.8582692,3,1,-178.3355,53.43259
-122.376,33.68148,-1.311013,3,3,-155.8489,32.16266
-94.60587,209.214,-2.939075,5,5,-131.1499,214.3799
-77.89292,164.1485,-1.77073,3,7,-103.4392,128.3925
-89.6088,188.2175,0.5392466,3,2,-69.15734,246.3182
-213.7485,86.13882,-2.041901,1,3,-202.7186,86.15375
-229.8715,1.241056,-2.440336,1,6,-227.4655,0.6041765
-57.12674,91.03379,-1.495034,3,2,-89.32638,81.89461
-150.2723,86.33225,2.04906,3,2,-93.54951,78.75404
-84.39059,110.9626,2.110086,2,7,-98.17999,139.0514
-126.5697,154.7482,3.071338,5,1,-165.6676,149.3921
-8.395411,9.21797,-1.070533,7,2,-25.98069,14.87211
-54.6161,237.8627,1.973532,5,2,-72.45149,161.3023
-70.45498,14.81937,-0.3596292,5,2,-31.74879,16.83383
-121.2683,124.5915,-1.358973,1,3,-106.909,123.0064
-27.04189,29.13124,0.4911581,5,1,4.108106,25.49883
-160.6931,76.35382,-1.290577,7,3,-184.9702,89.30723
-150.4877,74.66967,1.674225,3,2,-100.8338,72.78769
-27.40394,71.80527,2.996463,5,4,-63.43464,67.41253
-115.5551,61.61224,-1.859666,6,1,-78.43715,70.29169
-82.99981,19.1876,-1.080478,7,7,-101.4017,25.41827
-218.4595,31.93372,1.650091,1,1,-215.2478,32.34092
-116.4388,116.9974,-2.925384,4,1,-62.30908,107.5991
-160.925,75.3372,-0.3933579,2,4,-154.1896,59.65985
-22.17795,16.93858,-2.316089,1,1,-20.36625,16.5469
-182.113,33.3624,1.75425,4,5,-170.7388,41.74371
-93.74105,7.926629,1.41449,1,3,-93.94715,7.112081
-62.63242,41.49332,-0.004099702,4,4,-95.53685,42.85437
-2.12743,157.1645,1.245239,4,2,1.602983,200.0197
-110.8607,50.53929,-2.462851,4,2,-74.69027,40.91198
-42.33422,118.6912,-0.9187493,7,6,-46.41323,153.3834
-149.9152,39.16551,-0.09640424,3,2,-168.6678,49.53262
-139.4294,9.053933,2.649174,1,5,-133.9527,9.353827
-215.3675,79.81866,-1.882189,6,3,-174.9319,87.35852
-102.5659,24.08401,-1.314257,6,2,-64.75565,24.619
-3.13888,233.3689,-1.020649,2,1,16.49778,171.6786
-147.5664,123.4115,2.346999,1,1,-137.2268,121.4149
-186.7183,125.2395,0.6388328,2,3,-217.2778,116.5234
-99.21616,22.90991,-1.92626,6,2,-72.2627,28.46934
